[[95.2, 476.3], [0.9, -0.2], [1.1, 1.9]]
[[103.3, 477.2], [0.9, -0.3], [1.1, 1.9]]
[[110.4, 480.4], [0.9, -0.3], [1.2, 2.0]]
[[102.7, 479.0], [0.9, -0.3], [1.2, 2.0]]
[[112.3, 480.2], [0.9, -0.3], [1.2, 2.0]]
[[109.1, 479.9], [0.9, -0.3], [1.2, 2.1]]
[[100.3, 478.7], [0.9, -0.3], [1.2, 2.0]]
[[102.4, 479.1], [0.9, -0.3], [1.2, 2.1]]
[[95.9, 479.0], [0.9, -0.2], [1.2, 2.1]]
[[105.9, 480.7], [0.9, -0.3], [1.2, 2.2]]
[[107.4, 481.9], [0.9, -0.3], [1.2, 2.2]]
[[115.1, 482.9], [0.9, -0.3], [1.2, 2.2]]
[[130.5, 484.2], [0.8, -0.4], [1.2, 2.3]]
[[146.0, 485.1], [0.8, -0.5], [1.2, 2.2]]
[[161.5, 485.8], [0.7, -0.6], [1.2, 2.2]]
[[176.9, 486.3], [0.7, -0.6], [1.2, 2.2]]
[[191.1, 486.4], [0.6, -0.7], [1.2, 2.2]]
[[216.3, 486.9], [0.5, -0.8], [1.2, 2.1]]
[[245.2, 493.7], [0.3, -0.9], [1.2, 2.2]]
[[271.1, 487.9], [0.2, -0.9], [1.2, 2.1]]
[[299.9, 488.2], [0.0, -0.9], [1.2, 2.1]]
[[325.8, 484.7], [-0.1, -0.9], [1.2, 2.1]]
[[355.4, 493.0], [-0.3, -0.9], [1.2, 2.0]]
[[371.0, 481.0], [-0.4, -0.9], [1.2, 2.1]]
[[368.7, 478.7], [-0.3, -0.9], [1.2, 2.1]]
[[367.3, 477.6], [-0.3, -0.9], [1.2, 2.0]]
[[377.1, 475.5], [-0.4, -0.8], [1.2, 1.8]]
[[365.7, 476.6], [-0.3, -0.9], [1.2, 1.8]]
[[371.9, 475.0], [-0.4, -0.9], [1.2, 1.8]]
[[368.3, 474.6], [-0.4, -0.9], [1.2, 1.8]]
[[362.5, 475.0], [-0.3, -0.9], [1.2, 1.8]]
[[361.8, 471.1], [-0.4, -0.9], [1.2, 1.7]]
[[361.4, 473.9], [-0.4, -0.9], [1.3, 1.6]]
[[357.0, 474.5], [-0.3, -0.9], [1.2, 1.6]]
[[354.4, 474.2], [-0.3, -0.9], [1.3, 1.6]]
[[363.4, 472.8], [-0.4, -0.8], [1.3, 1.6]]
[[363.8, 471.9], [-0.4, -0.8], [1.3, 1.5]]
[[360.7, 471.6], [-0.4, -0.8], [1.3, 1.5]]
[[363.9, 470.8], [-0.4, -0.8], [1.3, 1.5]]
[[357.4, 471.2], [-0.4, -0.8], [1.2, 1.4]]
[[357.9, 468.7], [-0.4, -0.8], [1.3, 1.3]]
[[353.8, 469.9], [-0.4, -0.8], [1.3, 1.3]]
[[355.3, 468.6], [-0.4, -0.8], [1.3, 1.3]]
[[347.0, 469.3], [-0.4, -0.9], [1.4, 1.3]]
[[337.2, 469.6], [-0.3, -0.9], [1.3, 1.3]]
[[339.2, 468.5], [-0.3, -0.9], [1.3, 1.1]]
[[326.0, 469.5], [-0.3, -0.9], [1.3, 1.1]]
[[323.4, 468.7], [-0.3, -0.9], [1.4, 1.1]]
[[317.5, 468.8], [-0.3, -0.9], [1.4, 1.1]]
[[313.9, 468.6], [-0.3, -0.9], [1.4, 1.1]]
[[309.1, 467.3], [-0.3, -0.9], [1.4, 0.9]]
